workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"bst-proplang-rocq","BespokeGenerator","InsertPost",["insert_1"],"solve",0.00,0.00,0.00,0.0003
"bst-proplang-rocq","BespokeGenerator","InsertPost",["insert_2"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","InsertPost",["insert_3"],"solve",0.00,0.00,0.00,0.0007
"bst-proplang-rocq","BespokeGenerator","InsertModel",["insert_1"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","InsertModel",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","InsertModel",["insert_3"],"solve",0.00,0.00,0.00,0.0004
"bst-proplang-rocq","BespokeGenerator","DeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","DeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","DeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","DeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","InsertInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","InsertInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","InsertInsert",["insert_3"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","InsertUnion",["insert_1"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","InsertUnion",["insert_2"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","InsertUnion",["insert_3"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","InsertUnion",["union_6"],"solve",0.00,0.00,0.00,0.0098
"bst-proplang-rocq","BespokeGenerator","InsertUnion",["union_7"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","InsertUnion",["union_8"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","UnionDeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionDeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","UnionDeleteInsert",["insert_3"],"solve",0.00,0.00,0.00,0.0003
"bst-proplang-rocq","BespokeGenerator","UnionDeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionDeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","UnionDeleteInsert",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionDeleteInsert",["union_7"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionDeleteInsert",["union_8"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","InsertDelete",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","InsertDelete",["insert_3"],"solve",0.00,0.00,0.00,0.0004
"bst-proplang-rocq","BespokeGenerator","InsertDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","DeleteModel",["delete_4"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","DeleteModel",["delete_5"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","DeletePost",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","DeletePost",["delete_5"],"solve",0.00,0.00,0.00,0.0004
"bst-proplang-rocq","BespokeGenerator","DeleteDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0032
"bst-proplang-rocq","BespokeGenerator","DeleteDelete",["delete_5"],"solve",0.00,0.00,0.00,0.0087
"bst-proplang-rocq","BespokeGenerator","DeleteUnion",["delete_4"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","DeleteUnion",["delete_5"],"solve",0.00,0.00,0.00,0.0009
"bst-proplang-rocq","BespokeGenerator","DeleteUnion",["union_6"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","DeleteUnion",["union_7"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","DeleteUnion",["union_8"],"solve",0.00,0.00,0.00,0.0027
"bst-proplang-rocq","BespokeGenerator","UnionValid",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionValid",["union_7"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionPost",["union_6"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","UnionPost",["union_7"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","UnionPost",["union_8"],"solve",0.00,0.00,0.00,0.0041
"bst-proplang-rocq","BespokeGenerator","UnionModel",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionModel",["union_7"],"solve",0.00,0.00,0.00,0.0001
"bst-proplang-rocq","BespokeGenerator","UnionModel",["union_8"],"solve",0.00,0.00,0.00,0.0007
"bst-proplang-rocq","BespokeGenerator","UnionUnionAssoc",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionUnionAssoc",["union_7"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","BespokeGenerator","UnionUnionAssoc",["union_8"],"solve",0.00,0.00,0.00,0.0002
"bst-proplang-rocq","BespokeGenerator","UnionUnionIdem",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-proplang-rocq","SpecificationBasedGenerator","InsertPost",["insert_1"],"solve",0.00,0.00,0.00,0.0004
"bst-proplang-rocq","SpecificationBasedGenerator","InsertPost",["insert_2"],"solve",0.00,0.00,0.00,0.0012
"bst-proplang-rocq","SpecificationBasedGenerator","InsertPost",["insert_3"],"solve",0.00,0.00,0.00,0.0017
"bst-proplang-rocq","SpecificationBasedGenerator","InsertModel",["insert_1"],"solve",0.00,0.00,0.00,0.0003
"bst-proplang-rocq","SpecificationBasedGenerator","InsertModel",["insert_2"],"solve",0.00,0.00,0.00,0.0003
"bst-proplang-rocq","SpecificationBasedGenerator","InsertModel",["insert_3"],"solve",0.00,0.00,0.00,0.0005
"bst-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0015
"bst-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0010
"bst-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0003
"bst-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0013
"bst-proplang-rocq","SpecificationBasedGenerator","InsertInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0003
"bst-proplang-rocq","SpecificationBasedGenerator","InsertInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0003
"bst-proplang-rocq","SpecificationBasedGenerator","InsertInsert",["insert_3"],"solve",0.00,0.00,0.00,0.0008
"bst-proplang-rocq","SpecificationBasedGenerator","InsertUnion",["insert_1"],"solve",0.00,0.00,0.00,0.0004
"bst-proplang-rocq","SpecificationBasedGenerator","InsertUnion",["insert_2"],"solve",0.00,0.00,0.00,0.0017
"bst-proplang-rocq","SpecificationBasedGenerator","InsertUnion",["insert_3"],"solve",0.00,0.00,0.00,0.0013
