workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"bst-racket","RackcheckBespoke","InsertPost",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"bst-racket","RackcheckBespoke","InsertPost",["insert_2"],"solve",0.00,0.00,0.00,0.0003
"bst-racket","RackcheckBespoke","InsertPost",["insert_3"],"solve",0.00,0.00,0.00,0.0027
"bst-racket","RackcheckBespoke","InsertModel",["insert_1"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","InsertModel",["insert_2"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","InsertModel",["insert_3"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","DeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","DeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0010
"bst-racket","RackcheckBespoke","DeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","DeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","InsertInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","InsertInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","InsertInsert",["insert_3"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","InsertUnion",["insert_1"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","InsertUnion",["insert_2"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","InsertUnion",["insert_3"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","InsertUnion",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","InsertUnion",["union_7"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","InsertUnion",["union_8"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionDeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"bst-racket","RackcheckBespoke","UnionDeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"bst-racket","RackcheckBespoke","UnionDeleteInsert",["insert_3"],"solve",0.00,0.00,0.00,0.0004
"bst-racket","RackcheckBespoke","UnionDeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0002
"bst-racket","RackcheckBespoke","UnionDeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0005
"bst-racket","RackcheckBespoke","UnionDeleteInsert",["union_6"],"solve",0.00,0.00,0.00,0.0002
"bst-racket","RackcheckBespoke","UnionDeleteInsert",["union_7"],"solve",0.00,0.00,0.00,0.0004
"bst-racket","RackcheckBespoke","UnionDeleteInsert",["union_8"],"solve",0.00,0.00,0.00,0.0209
"bst-racket","RackcheckBespoke","InsertDelete",["insert_2"],"solve",0.00,0.00,0.00,0.0012
"bst-racket","RackcheckBespoke","InsertDelete",["insert_3"],"solve",0.00,0.00,0.00,0.0034
"bst-racket","RackcheckBespoke","InsertDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","DeleteModel",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","DeleteModel",["delete_5"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","RackcheckBespoke","DeletePost",["delete_4"],"solve",0.00,0.00,0.00,0.0003
"bst-racket","RackcheckBespoke","DeletePost",["delete_5"],"solve",0.00,0.00,0.00,0.0052
"bst-racket","RackcheckBespoke","DeleteDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0083
"bst-racket","RackcheckBespoke","DeleteDelete",["delete_5"],"solve",0.00,0.00,0.00,0.0095
"bst-racket","RackcheckBespoke","DeleteUnion",["delete_4"],"solve",0.00,0.00,0.00,0.0003
"bst-racket","RackcheckBespoke","DeleteUnion",["delete_5"],"solve",0.00,0.00,0.00,0.0020
"bst-racket","RackcheckBespoke","DeleteUnion",["union_6"],"solve",0.00,0.00,0.00,0.0004
"bst-racket","RackcheckBespoke","DeleteUnion",["union_7"],"solve",0.00,0.00,0.00,0.0014
"bst-racket","RackcheckBespoke","DeleteUnion",["union_8"],"solve",0.00,0.00,0.00,0.0129
"bst-racket","RackcheckBespoke","UnionValid",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionValid",["union_7"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionPost",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionPost",["union_7"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionPost",["union_8"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionModel",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionModel",["union_7"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionModel",["union_8"],"solve",0.00,0.00,0.00,0.0000
"bst-racket","RackcheckBespoke","UnionUnionAssoc",["union_6"],"solve",0.00,0.00,0.00,0.0002
"bst-racket","RackcheckBespoke","UnionUnionAssoc",["union_7"],"solve",0.00,0.00,0.00,0.0003
"bst-racket","RackcheckBespoke","UnionUnionAssoc",["union_8"],"solve",0.00,0.00,0.00,0.0047
"bst-racket","RackcheckBespoke","UnionUnionIdem",["union_6"],"solve",0.00,0.00,0.00,0.0001
"bst-racket","ProplangBespoke","InsertPost",["insert_1"],"solve",0.00,0.00,0.00,0.0023
"bst-racket","ProplangBespoke","InsertPost",["insert_2"],"solve",0.00,0.00,0.00,0.0036
"bst-racket","ProplangBespoke","InsertPost",["insert_3"],"solve",0.00,0.00,0.00,0.0088
"bst-racket","ProplangBespoke","InsertModel",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"bst-racket","ProplangBespoke","InsertModel",["insert_2"],"solve",0.00,0.00,0.00,0.0011
"bst-racket","ProplangBespoke","InsertModel",["insert_3"],"solve",0.00,0.00,0.00,0.0026
"bst-racket","ProplangBespoke","DeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"bst-racket","ProplangBespoke","DeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0045
"bst-racket","ProplangBespoke","DeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0001
