workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"bst-rocq","BespokeGenerator","InsertPost",["insert_1"],"solve",9.70,0.00,6.00,0.0026
"bst-rocq","BespokeGenerator","InsertPost",["insert_2"],"solve",36.00,0.00,5.40,0.0040
"bst-rocq","BespokeGenerator","InsertPost",["insert_3"],"solve",40.50,0.00,3.40,0.0061
"bst-rocq","BespokeGenerator","InsertModel",["insert_1"],"solve",1.00,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","InsertModel",["insert_2"],"solve",9.00,0.00,0.00,0.0002
"bst-rocq","BespokeGenerator","InsertModel",["insert_3"],"solve",6.80,0.00,0.00,0.0002
"bst-rocq","BespokeGenerator","DeleteInsert",["insert_1"],"solve",1.40,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","DeleteInsert",["insert_2"],"solve",16.20,0.00,0.00,0.0004
"bst-rocq","BespokeGenerator","DeleteInsert",["delete_4"],"solve",3.00,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","DeleteInsert",["delete_5"],"solve",1.00,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","InsertInsert",["insert_1"],"solve",3.10,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","InsertInsert",["insert_2"],"solve",3.20,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","InsertInsert",["insert_3"],"solve",2.20,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","InsertUnion",["insert_1"],"solve",1.50,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","InsertUnion",["insert_2"],"solve",2.20,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","InsertUnion",["insert_3"],"solve",2.10,0.00,0.00,0.0001
"bst-rocq","BespokeGenerator","InsertUnion",["union_6"],"solve",6.90,0.00,0.00,0.0002
"bst-rocq","BespokeGenerator","InsertUnion",["union_7"],"solve",1.30,0.00,0.00,0.0001
