workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"rbt-proplang-rocq","BespokeGenerator","InsertPost",["insert_1"],"solve",0.00,0.00,0.00,0.0003
"rbt-proplang-rocq","BespokeGenerator","InsertPost",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"rbt-proplang-rocq","BespokeGenerator","InsertPost",["insert_3"],"solve",0.00,0.00,0.00,0.0017
"rbt-proplang-rocq","BespokeGenerator","InsertPost",["swap_bc"],"solve",0.00,0.00,0.00,0.0046
"rbt-proplang-rocq","BespokeGenerator","InsertPost",["swap_cd"],"solve",0.00,0.00,0.00,0.0016
"rbt-proplang-rocq","BespokeGenerator","InsertModel",["insert_1"],"solve",0.00,0.00,0.00,0.0001
"rbt-proplang-rocq","BespokeGenerator","InsertModel",["insert_2"],"solve",0.00,0.00,0.00,0.0001
"rbt-proplang-rocq","BespokeGenerator","InsertModel",["insert_3"],"solve",0.00,0.00,0.00,0.0002
"rbt-proplang-rocq","BespokeGenerator","InsertModel",["swap_bc"],"solve",0.00,0.00,0.00,0.0011
"rbt-proplang-rocq","BespokeGenerator","InsertModel",["swap_cd"],"solve",0.00,0.00,0.00,0.0006
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0004
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0003
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0000
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0002
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["miscolor_insert"],"solve",0.00,0.00,0.00,0.0004
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.0432
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.0017
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["swap_bc"],"solve",0.00,0.00,0.00,0.0030
"rbt-proplang-rocq","BespokeGenerator","DeleteInsert",["swap_cd"],"solve",0.00,0.00,0.00,0.0021
"rbt-proplang-rocq","BespokeGenerator","InsertInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0000
"rbt-proplang-rocq","BespokeGenerator","InsertInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0001
"rbt-proplang-rocq","BespokeGenerator","InsertInsert",["insert_3"],"solve",0.00,0.00,0.00,0.0008
"rbt-proplang-rocq","BespokeGenerator","InsertInsert",["swap_bc"],"solve",0.00,0.00,0.00,0.0010
"rbt-proplang-rocq","BespokeGenerator","InsertInsert",["swap_cd"],"solve",0.00,0.00,0.00,0.0006
"rbt-proplang-rocq","BespokeGenerator","InsertDelete",["insert_2"],"solve",0.00,0.00,0.00,0.0005
"rbt-proplang-rocq","BespokeGenerator","InsertDelete",["insert_3"],"solve",0.00,0.00,0.00,0.0023
"rbt-proplang-rocq","BespokeGenerator","InsertDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"rbt-proplang-rocq","BespokeGenerator","InsertDelete",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.0696
"rbt-proplang-rocq","BespokeGenerator","InsertDelete",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.0019
"rbt-proplang-rocq","BespokeGenerator","InsertDelete",["swap_bc"],"solve",0.00,0.00,0.00,0.0025
"rbt-proplang-rocq","BespokeGenerator","InsertDelete",["swap_cd"],"solve",0.00,0.00,0.00,0.0013
"rbt-proplang-rocq","BespokeGenerator","DeleteDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0005
"rbt-proplang-rocq","BespokeGenerator","DeleteDelete",["delete_5"],"solve",0.00,0.00,0.00,0.0040
"rbt-proplang-rocq","BespokeGenerator","DeleteDelete",["miscolor_balLeft"],"solve",0.00,0.00,0.00,0.4459
"rbt-proplang-rocq","BespokeGenerator","DeleteDelete",["miscolor_balRight"],"solve",0.00,0.00,0.00,0.3152
