workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"rbt-racket","RackcheckBespoke","DeleteDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0015
"rbt-racket","RackcheckBespoke","DeleteDelete",["delete_5"],"solve",0.00,0.00,0.00,0.0005
"rbt-racket","RackcheckBespoke","DeleteDelete",["miscolor_balLeft"],"solve",0.00,0.00,0.00,0.0199
"rbt-racket","RackcheckBespoke","DeleteDelete",["miscolor_balRight"],"solve",0.00,0.00,0.00,0.0260
"rbt-racket","RackcheckBespoke","DeleteDelete",["miscolor_join_2"],"solve",0.00,0.00,0.00,0.0178
"rbt-racket","RackcheckBespoke","DeleteDelete",["swap_bc"],"solve",0.00,0.00,0.00,0.1395
"rbt-racket","RackcheckBespoke","DeleteDelete",["swap_cd"],"solve",0.00,0.00,0.00,0.0197
"rbt-racket","RackcheckBespoke","DeleteModel",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","RackcheckBespoke","DeleteModel",["delete_5"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","RackcheckBespoke","DeleteModel",["swap_bc"],"solve",0.00,0.00,0.00,0.1463
"rbt-racket","RackcheckBespoke","DeleteModel",["swap_cd"],"solve",0.00,0.00,0.00,0.0119
"rbt-racket","RackcheckBespoke","DeletePost",["delete_4"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","RackcheckBespoke","DeletePost",["delete_5"],"solve",0.00,0.00,0.00,0.0009
"rbt-racket","RackcheckBespoke","DeletePost",["swap_bc"],"solve",0.00,0.00,0.00,0.2599
"rbt-racket","RackcheckBespoke","DeletePost",["swap_cd"],"solve",0.00,0.00,0.00,0.0297
"rbt-racket","RackcheckBespoke","DeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","RackcheckBespoke","DeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","RackcheckBespoke","DeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","RackcheckBespoke","DeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","RackcheckBespoke","DeleteInsert",["miscolor_insert"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","RackcheckBespoke","DeleteInsert",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.0815
"rbt-racket","RackcheckBespoke","DeleteInsert",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.1127
"rbt-racket","RackcheckBespoke","DeleteInsert",["swap_bc"],"solve",0.00,0.00,0.00,0.0161
"rbt-racket","RackcheckBespoke","DeleteInsert",["swap_cd"],"solve",0.00,0.00,0.00,0.0030
"rbt-racket","RackcheckBespoke","InsertDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","RackcheckBespoke","InsertDelete",["insert_2"],"solve",0.00,0.00,0.00,0.0004
"rbt-racket","RackcheckBespoke","InsertDelete",["insert_3"],"solve",0.00,0.00,0.00,0.0006
"rbt-racket","RackcheckBespoke","InsertDelete",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.1779
"rbt-racket","RackcheckBespoke","InsertDelete",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.1828
"rbt-racket","RackcheckBespoke","InsertDelete",["swap_bc"],"solve",0.00,0.00,0.00,0.0199
"rbt-racket","RackcheckBespoke","InsertDelete",["swap_cd"],"solve",0.00,0.00,0.00,0.0057
"rbt-racket","RackcheckBespoke","InsertPost",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","RackcheckBespoke","InsertPost",["insert_2"],"solve",0.00,0.00,0.00,0.0005
"rbt-racket","RackcheckBespoke","InsertPost",["insert_3"],"solve",0.00,0.00,0.00,0.0004
"rbt-racket","RackcheckBespoke","InsertPost",["swap_bc"],"solve",0.00,0.00,0.00,0.0284
"rbt-racket","RackcheckBespoke","InsertPost",["swap_cd"],"solve",0.00,0.00,0.00,0.0112
"rbt-racket","RackcheckBespoke","InsertModel",["insert_1"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","RackcheckBespoke","InsertModel",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","RackcheckBespoke","InsertModel",["insert_3"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","RackcheckBespoke","InsertModel",["swap_bc"],"solve",0.00,0.00,0.00,0.0144
"rbt-racket","RackcheckBespoke","InsertModel",["swap_cd"],"solve",0.00,0.00,0.00,0.0033
"rbt-racket","RackcheckBespoke","InsertInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","RackcheckBespoke","InsertInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","RackcheckBespoke","InsertInsert",["insert_3"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","RackcheckBespoke","InsertInsert",["swap_bc"],"solve",0.00,0.00,0.00,0.0137
"rbt-racket","RackcheckBespoke","InsertInsert",["swap_cd"],"solve",0.00,0.00,0.00,0.0011
"rbt-racket","RackcheckBespoke","InsertValid",["miscolor_insert"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","RackcheckBespoke","InsertValid",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.0010
"rbt-racket","RackcheckBespoke","InsertValid",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.0009
"rbt-racket","RackcheckBespoke","InsertValid",["swap_bc"],"solve",0.00,0.00,0.00,0.0218
