workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"rbt-rocq","BespokeGenerator","DeleteDelete",["delete_4"],"solve",104.50,0.00,0.00,0.0018
"rbt-rocq","BespokeGenerator","DeleteDelete",["delete_5"],"solve",1129.60,0.00,0.00,0.0146
"rbt-rocq","BespokeGenerator","DeleteDelete",["miscolor_balLeft"],"solve",8812.10,0.00,0.00,0.1089
"rbt-rocq","BespokeGenerator","DeleteDelete",["miscolor_balRight"],"solve",15332.70,0.00,0.00,0.1836
"rbt-rocq","BespokeGenerator","DeleteDelete",["miscolor_join_2"],"solve",2485.40,0.00,0.00,0.0321
"rbt-rocq","BespokeGenerator","DeleteDelete",["swap_bc"],"solve",0.00,0.00,0.00,0.0249
"rbt-rocq","BespokeGenerator","DeleteDelete",["swap_cd"],"solve",0.00,0.00,0.00,0.0132
"rbt-rocq","BespokeGenerator","DeleteModel",["delete_4"],"solve",1.00,0.00,0.00,0.0001
"rbt-rocq","BespokeGenerator","DeleteModel",["delete_5"],"solve",6.30,0.00,0.00,0.0002
"rbt-rocq","BespokeGenerator","DeleteModel",["swap_bc"],"solve",0.00,0.00,0.00,0.0112
"rbt-rocq","BespokeGenerator","DeleteModel",["swap_cd"],"solve",0.00,0.00,0.00,0.0041
"rbt-rocq","BespokeGenerator","DeletePost",["delete_4"],"solve",5.50,0.00,0.00,0.0001
"rbt-rocq","BespokeGenerator","DeletePost",["delete_5"],"solve",157.40,0.00,0.00,0.0024
"rbt-rocq","BespokeGenerator","DeletePost",["swap_bc"],"solve",0.00,0.00,0.00,0.1542
"rbt-rocq","BespokeGenerator","DeletePost",["swap_cd"],"solve",0.00,0.00,0.00,0.0186
"rbt-rocq","BespokeGenerator","DeleteInsert",["delete_4"],"solve",1.00,0.00,0.00,0.0001
"rbt-rocq","BespokeGenerator","DeleteInsert",["insert_1"],"solve",51.10,0.00,0.00,0.0007
"rbt-rocq","BespokeGenerator","DeleteInsert",["insert_2"],"solve",30.30,0.00,0.00,0.0006
"rbt-rocq","BespokeGenerator","DeleteInsert",["delete_5"],"solve",24.60,0.00,0.00,0.0005
"rbt-rocq","BespokeGenerator","DeleteInsert",["miscolor_insert"],"solve",38.10,0.00,0.00,0.0007
"rbt-rocq","BespokeGenerator","DeleteInsert",["no_balance_insert_1"],"solve",4518.40,0.00,0.00,0.0534
"rbt-rocq","BespokeGenerator","DeleteInsert",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.0013
"rbt-rocq","BespokeGenerator","DeleteInsert",["swap_bc"],"solve",0.00,0.00,0.00,0.0013
"rbt-rocq","BespokeGenerator","DeleteInsert",["swap_cd"],"solve",0.00,0.00,0.00,0.0018
"rbt-rocq","BespokeGenerator","InsertDelete",["delete_4"],"solve",1.00,0.00,0.00,0.0000
"rbt-rocq","BespokeGenerator","InsertDelete",["insert_2"],"solve",18.80,0.00,0.00,0.0003
"rbt-rocq","BespokeGenerator","InsertDelete",["insert_3"],"solve",264.90,0.00,0.00,0.0056
"rbt-rocq","BespokeGenerator","InsertDelete",["no_balance_insert_1"],"solve",2833.20,0.00,0.00,0.0358
"rbt-rocq","BespokeGenerator","InsertDelete",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.0015
"rbt-rocq","BespokeGenerator","InsertDelete",["swap_bc"],"solve",0.00,0.00,0.00,0.0041
"rbt-rocq","BespokeGenerator","InsertDelete",["swap_cd"],"solve",0.00,0.00,0.00,0.0017
"rbt-rocq","BespokeGenerator","InsertPost",["insert_1"],"solve",4.50,0.00,0.00,0.0001
"rbt-rocq","BespokeGenerator","InsertPost",["insert_2"],"solve",40.90,0.00,0.00,0.0010
