workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0059
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0157
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.2396
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0095
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0027
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0034
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.3334
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0032
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0059
"stlc-proplang-rocq","BespokeGenerator","SinglePreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0045
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0037
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0140
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.3562
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0144
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0028
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0017
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.2304
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0025
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0042
"stlc-proplang-rocq","BespokeGenerator","MultiPreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0059
"stlc-proplang-rocq","SpecificationBasedGenerator","SinglePreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0027
