workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"stlc-racket","ProplangBespoke","SinglePreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0087
"stlc-racket","ProplangBespoke","SinglePreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0111
"stlc-racket","ProplangBespoke","SinglePreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.0634
"stlc-racket","ProplangBespoke","SinglePreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0092
"stlc-racket","ProplangBespoke","SinglePreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0063
"stlc-racket","ProplangBespoke","SinglePreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0092
"stlc-racket","ProplangBespoke","SinglePreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.0254
"stlc-racket","ProplangBespoke","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0106
"stlc-racket","ProplangBespoke","SinglePreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0068
"stlc-racket","ProplangBespoke","SinglePreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0138
"stlc-racket","ProplangBespoke","MultiPreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0123
"stlc-racket","ProplangBespoke","MultiPreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0274
"stlc-racket","ProplangBespoke","MultiPreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.0996
"stlc-racket","ProplangBespoke","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0150
"stlc-racket","ProplangBespoke","MultiPreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0147
"stlc-racket","ProplangBespoke","MultiPreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0084
"stlc-racket","ProplangBespoke","MultiPreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.1247
"stlc-racket","ProplangBespoke","MultiPreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0142
"stlc-racket","ProplangBespoke","MultiPreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0105
"stlc-racket","ProplangBespoke","MultiPreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0073
"stlc-racket","RackcheckBespoke","SinglePreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0107
"stlc-racket","RackcheckBespoke","SinglePreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0168
"stlc-racket","RackcheckBespoke","SinglePreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.0436
"stlc-racket","RackcheckBespoke","SinglePreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0136
"stlc-racket","RackcheckBespoke","SinglePreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0148
"stlc-racket","RackcheckBespoke","SinglePreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0085
"stlc-racket","RackcheckBespoke","SinglePreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.0472
"stlc-racket","RackcheckBespoke","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0121
"stlc-racket","RackcheckBespoke","SinglePreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0102
"stlc-racket","RackcheckBespoke","SinglePreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0122
"stlc-racket","RackcheckBespoke","MultiPreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0144
"stlc-racket","RackcheckBespoke","MultiPreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0158
"stlc-racket","RackcheckBespoke","MultiPreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.1978
"stlc-racket","RackcheckBespoke","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0178
"stlc-racket","RackcheckBespoke","MultiPreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0122
"stlc-racket","RackcheckBespoke","MultiPreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0096
"stlc-racket","RackcheckBespoke","MultiPreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.1725
"stlc-racket","RackcheckBespoke","MultiPreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0182
"stlc-racket","RackcheckBespoke","MultiPreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0151
"stlc-racket","RackcheckBespoke","MultiPreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0163
"stlc-racket","ParallelBespoke","SinglePreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0106
"stlc-racket","ParallelBespoke","SinglePreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0250
"stlc-racket","ParallelBespoke","SinglePreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.0348
"stlc-racket","ParallelBespoke","SinglePreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0129
"stlc-racket","ParallelBespoke","SinglePreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0225
"stlc-racket","ParallelBespoke","SinglePreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0255
"stlc-racket","ParallelBespoke","SinglePreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.0608
"stlc-racket","ParallelBespoke","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0205
"stlc-racket","ParallelBespoke","SinglePreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0104
"stlc-racket","ParallelBespoke","SinglePreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0117
"stlc-racket","ParallelBespoke","MultiPreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0134
"stlc-racket","ParallelBespoke","MultiPreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0176
"stlc-racket","ParallelBespoke","MultiPreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.1653
"stlc-racket","ParallelBespoke","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0222
"stlc-racket","ParallelBespoke","MultiPreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0145
