workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"stlc-rocq","BespokeGenerator","SinglePreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0162
"stlc-rocq","BespokeGenerator","SinglePreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.1515
"stlc-rocq","BespokeGenerator","SinglePreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,1.9972
"stlc-rocq","BespokeGenerator","SinglePreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.1231
"stlc-rocq","BespokeGenerator","SinglePreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0034
"stlc-rocq","BespokeGenerator","SinglePreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0058
"stlc-rocq","BespokeGenerator","SinglePreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,1.3431
"stlc-rocq","BespokeGenerator","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0161
"stlc-rocq","BespokeGenerator","SinglePreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0117
"stlc-rocq","BespokeGenerator","SinglePreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0195
"stlc-rocq","BespokeGenerator","MultiPreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0159
"stlc-rocq","BespokeGenerator","MultiPreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.2346
"stlc-rocq","BespokeGenerator","MultiPreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,2.6860
"stlc-rocq","BespokeGenerator","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.1024
"stlc-rocq","BespokeGenerator","MultiPreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0083
"stlc-rocq","BespokeGenerator","MultiPreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0051
"stlc-rocq","BespokeGenerator","MultiPreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,2.5188
"stlc-rocq","BespokeGenerator","MultiPreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0126
"stlc-rocq","BespokeGenerator","MultiPreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0192
"stlc-rocq","BespokeGenerator","MultiPreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0337
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0019
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0028
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["shift_var_leq"],"solve",0.00,0.00,0.00,0.0415
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0020
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0005
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0004
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.0379
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0009
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0014
"stlc-rocq","SpecificationBasedGenerator","SinglePreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0012
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["shift_var_none"],"solve",0.00,0.00,0.00,0.0009
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0037
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["shift_var_leq"],"solve",0.00,0.30,0.00,0.0734
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0020
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["subst_var_all"],"solve",0.00,0.00,0.00,0.0005
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["subst_var_none"],"solve",0.00,0.00,0.00,0.0004
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,0.0563
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0007
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["substTop_no_shift"],"solve",0.00,0.00,0.00,0.0019
"stlc-rocq","SpecificationBasedGenerator","MultiPreserve",["substTop_no_shift_back"],"solve",0.00,0.00,0.00,0.0013
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["shift_var_none"],"solve",0.00,78.30,0.00,7.6813
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["shift_var_all"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["shift_var_leq"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["shift_abs_no_incr"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["subst_var_all"],"solve",0.00,882.90,0.00,4.7094
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["subst_var_none"],"solve",0.00,2435.00,0.00,8.9437
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["subst_abs_no_shift"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,4254.60,0.00,13.8967
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["substTop_no_shift"],"solve",0.00,248.40,0.00,8.7311
"stlc-rocq","TypeBasedGenerator","SinglePreserve",["substTop_no_shift_back"],"solve",0.00,9.50,0.00,9.5925
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["shift_var_none"],"solve",0.00,902.60,0.00,6.9748
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["shift_var_all"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["shift_var_leq"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["shift_abs_no_incr"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["subst_var_all"],"solve",0.00,2160.30,0.00,4.9573
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["subst_var_none"],"solve",0.00,163.10,0.00,9.9340
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["subst_abs_no_shift"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["subst_abs_no_incr"],"solve",0.00,3741.00,0.00,11.0083
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["substTop_no_shift"],"solve",0.00,1949.70,0.00,4.8161
"stlc-rocq","TypeBasedGenerator","MultiPreserve",["substTop_no_shift_back"],"solve",0.00,1033.80,0.00,7.3424
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["shift_var_none"],"solve",0.00,220.60,0.00,0.6036
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["shift_var_all"],"solve",0.00,2870.80,0.00,2.2804
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["shift_var_leq"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["shift_abs_no_incr"],"solve",0.00,2951.70,0.00,3.7027
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["subst_var_all"],"solve",0.00,978.90,0.00,0.4115
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["subst_var_none"],"solve",0.00,667.70,0.00,0.5425
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["subst_abs_no_shift"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,707.50,0.00,0.7519
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["substTop_no_shift"],"solve",0.00,1629.30,0.00,0.4927
"stlc-rocq","TypeBasedFuzzer","SinglePreserve",["substTop_no_shift_back"],"solve",0.00,457.80,0.00,0.6028
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["shift_var_none"],"solve",0.00,569.00,0.00,0.5743
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["shift_var_all"],"solve",0.00,7532.40,0.00,2.3077
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["shift_var_leq"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,731.60,0.00,1.1283
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["subst_var_all"],"solve",0.00,135.80,0.00,0.4291
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["subst_var_none"],"solve",0.00,383.40,0.00,0.5057
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["subst_abs_no_shift"],"solve",NaN,NaN,NaN,NaN
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["subst_abs_no_incr"],"solve",0.00,255.20,0.00,0.6033
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["substTop_no_shift"],"solve",0.00,538.20,0.00,0.7241
"stlc-rocq","TypeBasedFuzzer","MultiPreserve",["substTop_no_shift_back"],"solve",0.00,398.80,0.00,0.8208
