workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"systemf-racket","ProplangBespoke","SinglePreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,3.5850
"systemf-racket","ProplangBespoke","SinglePreserve",["shift_typ_tabs_no_incr"],"solve",0.00,0.00,0.00,1.9252
"systemf-racket","ProplangBespoke","SinglePreserve",["shift_var_all"],"solve",0.00,0.00,0.00,2.9212
"systemf-racket","ProplangBespoke","SinglePreserve",["shift_var_no_incr"],"solve",0.00,0.00,0.00,7.3055
"systemf-racket","ProplangBespoke","SinglePreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,4.7012
"systemf-racket","ProplangBespoke","SinglePreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,7.1050
"systemf-racket","ProplangBespoke","SinglePreserve",["subst_tabs_no_shift"],"solve",0.00,0.00,0.00,1.0725
"systemf-racket","ProplangBespoke","SinglePreserve",["subst_typ_tabs_no_incr"],"solve",0.00,0.00,0.00,1.5556
"systemf-racket","ProplangBespoke","SinglePreserve",["subst_typ_tabs_no_shift"],"solve",0.00,0.00,0.00,1.0260
"systemf-racket","ProplangBespoke","SinglePreserve",["subst_var_flip"],"solve",0.00,0.00,0.00,2.5224
"systemf-racket","ProplangBespoke","SinglePreserve",["subst_var_no_decr"],"solve",0.00,0.00,0.00,0.3126
"systemf-racket","ProplangBespoke","SinglePreserve",["tshift_all_no_incr"],"solve",0.00,0.00,0.00,3.7676
"systemf-racket","ProplangBespoke","SinglePreserve",["tshift_tvar_all"],"solve",0.00,0.00,0.00,2.3997
"systemf-racket","ProplangBespoke","SinglePreserve",["tshift_tvar_no_incr"],"solve",0.00,0.00,0.00,1.3689
"systemf-racket","ProplangBespoke","SinglePreserve",["tsubst_all_no_shift"],"solve",0.00,0.00,0.00,1.7839
"systemf-racket","ProplangBespoke","SinglePreserve",["tsubst_tvar_flip"],"solve",0.00,0.00,0.00,2.0132
"systemf-racket","ProplangBespoke","SinglePreserve",["tsubst_tvar_no_shift"],"solve",0.00,0.00,0.00,1.0680
"systemf-racket","ProplangBespoke","SinglePreserve",["tsubst_tvar_over_shift"],"solve",0.00,0.00,0.00,0.9488
"systemf-racket","ProplangBespoke","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,1.1127
"systemf-racket","ProplangBespoke","MultiPreserve",["shift_typ_tabs_no_incr"],"solve",0.00,0.00,0.00,3.0689
"systemf-racket","ProplangBespoke","MultiPreserve",["shift_var_all"],"solve",0.00,0.00,0.00,6.6249
"systemf-racket","ProplangBespoke","MultiPreserve",["shift_var_no_incr"],"solve",0.00,0.00,0.00,6.9471
